epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.19969,1.00531,0.52564,1,0.94941,0.0029,0.0029,0.0029
2,9.90068,0.87526,0.66667,1,0.75459,0.00589708,0.00589708,0.00589708
3,11.9769,0.71708,0.76282,1,0.63359,0.00889119,0.00889119,0.00889119
4,14.0617,0.666,0.75641,1,0.54941,0.00998515,0.00998515,0.00998515
5,16.0614,0.59904,0.80769,1,0.4626,0.0099802,0.0099802,0.0099802
6,18.1584,0.56963,0.78205,1,0.49619,0.00997525,0.00997525,0.00997525
7,20.1345,0.55786,0.77564,1,0.52725,0.0099703,0.0099703,0.0099703
8,22.0575,0.44374,0.83974,1,0.39236,0.00996535,0.00996535,0.00996535
9,24.1077,0.40124,0.83333,1,0.44375,0.0099604,0.0099604,0.0099604
10,26.1804,0.29866,0.85897,1,0.40635,0.00995545,0.00995545,0.00995545
11,28.3185,0.37423,0.82692,1,0.54426,0.0099505,0.0099505,0.0099505
12,30.2848,0.2817,0.83974,1,0.46099,0.00994555,0.00994555,0.00994555
13,32.2487,0.34197,0.83333,1,0.56733,0.0099406,0.0099406,0.0099406
14,34.192,0.32957,0.86538,1,0.50767,0.00993565,0.00993565,0.00993565
15,36.2813,0.3192,0.85256,1,0.54292,0.0099307,0.0099307,0.0099307
16,38.2601,0.28748,0.86538,1,0.45972,0.00992575,0.00992575,0.00992575
17,40.3421,0.28632,0.85897,1,0.43887,0.0099208,0.0099208,0.0099208
18,42.3111,0.32414,0.83974,1,0.61135,0.00991585,0.00991585,0.00991585
19,44.2708,0.24676,0.83333,1,0.5885,0.0099109,0.0099109,0.0099109
20,46.2682,0.27739,0.83333,1,0.54312,0.00990595,0.00990595,0.00990595
21,48.2572,0.27621,0.84615,1,0.54763,0.009901,0.009901,0.009901
22,50.2997,0.22055,0.85897,1,0.57913,0.00989605,0.00989605,0.00989605
23,52.2931,0.18898,0.84615,1,0.64341,0.0098911,0.0098911,0.0098911
24,54.3199,0.21053,0.85897,1,0.56904,0.00988615,0.00988615,0.00988615
25,56.3035,0.15866,0.85256,1,0.52241,0.0098812,0.0098812,0.0098812
26,58.2792,0.17217,0.85897,1,0.47046,0.00987625,0.00987625,0.00987625
27,60.2848,0.19108,0.85897,1,0.54404,0.0098713,0.0098713,0.0098713
28,62.3298,0.19852,0.83974,1,0.7375,0.00986635,0.00986635,0.00986635
29,64.2302,0.20418,0.85256,1,0.71753,0.0098614,0.0098614,0.0098614
30,66.1515,0.20269,0.85897,1,0.7356,0.00985645,0.00985645,0.00985645
31,68.0633,0.20691,0.83974,1,0.72446,0.0098515,0.0098515,0.0098515
32,69.9841,0.18735,0.85256,1,0.66738,0.00984655,0.00984655,0.00984655
33,71.9064,0.19833,0.85256,1,0.64956,0.0098416,0.0098416,0.0098416
34,73.9047,0.16004,0.84615,1,0.55369,0.00983665,0.00983665,0.00983665
35,75.8822,0.22289,0.85256,1,0.49229,0.0098317,0.0098317,0.0098317
36,77.8608,0.13132,0.85256,1,0.49248,0.00982675,0.00982675,0.00982675
37,79.9115,0.13019,0.85256,1,0.56416,0.0098218,0.0098218,0.0098218
38,81.8932,0.14201,0.83974,1,0.65413,0.00981685,0.00981685,0.00981685
39,83.8824,0.15275,0.85256,1,0.6511,0.0098119,0.0098119,0.0098119
40,85.8698,0.18228,0.84615,1,0.74524,0.00980695,0.00980695,0.00980695
41,87.8307,0.12345,0.87179,1,0.78389,0.009802,0.009802,0.009802
42,89.9883,0.10531,0.83974,1,0.825,0.00979705,0.00979705,0.00979705
43,92.018,0.12673,0.84615,1,0.84502,0.0097921,0.0097921,0.0097921
44,94.0128,0.13845,0.83333,1,0.92031,0.00978715,0.00978715,0.00978715
45,95.9873,0.14804,0.80769,1,1.01895,0.0097822,0.0097822,0.0097822
46,97.9514,0.16287,0.79487,1,0.85117,0.00977725,0.00977725,0.00977725
47,99.8867,0.12014,0.83974,1,0.83448,0.0097723,0.0097723,0.0097723
48,101.887,0.1235,0.85256,1,0.78745,0.00976735,0.00976735,0.00976735
49,103.862,0.11572,0.85256,1,0.7687,0.0097624,0.0097624,0.0097624
50,105.802,0.13189,0.85256,1,0.61455,0.00975745,0.00975745,0.00975745
51,107.849,0.10599,0.84615,1,0.61479,0.0097525,0.0097525,0.0097525
52,109.819,0.11732,0.85897,1,0.73853,0.00974755,0.00974755,0.00974755
53,111.795,0.11906,0.83974,1,0.76802,0.0097426,0.0097426,0.0097426
54,113.8,0.11237,0.83333,1,0.92412,0.00973765,0.00973765,0.00973765
55,115.748,0.09401,0.83333,1,0.87549,0.0097327,0.0097327,0.0097327
56,117.738,0.09906,0.84615,1,0.91211,0.00972775,0.00972775,0.00972775
57,119.781,0.07533,0.83974,1,0.88096,0.0097228,0.0097228,0.0097228
58,121.756,0.10157,0.82692,1,0.9292,0.00971785,0.00971785,0.00971785
59,123.707,0.10665,0.82692,1,0.99346,0.0097129,0.0097129,0.0097129
60,125.68,0.10912,0.83974,1,0.9917,0.00970795,0.00970795,0.00970795
61,127.656,0.10107,0.85256,1,0.73389,0.009703,0.009703,0.009703
62,129.621,0.1326,0.85897,1,0.67329,0.00969805,0.00969805,0.00969805
63,131.62,0.08306,0.83974,1,0.73799,0.0096931,0.0096931,0.0096931
64,133.592,0.09382,0.83333,1,0.81558,0.00968815,0.00968815,0.00968815
65,135.562,0.20211,0.80769,1,1.03994,0.0096832,0.0096832,0.0096832
66,137.558,0.08402,0.85897,1,0.78804,0.00967825,0.00967825,0.00967825
67,139.506,0.23546,0.87821,1,0.74448,0.0096733,0.0096733,0.0096733
68,141.654,0.07188,0.87179,1,0.64146,0.00966835,0.00966835,0.00966835
69,143.694,0.08223,0.85897,1,0.87549,0.0096634,0.0096634,0.0096634
70,145.681,0.07956,0.84615,1,0.77437,0.00965845,0.00965845,0.00965845
71,147.662,0.09291,0.83974,1,0.76992,0.0096535,0.0096535,0.0096535
72,149.656,0.1204,0.83333,1,0.80649,0.00964855,0.00964855,0.00964855
73,151.665,0.05875,0.84615,1,0.79219,0.0096436,0.0096436,0.0096436
74,153.63,0.08252,0.83974,1,0.98711,0.00963865,0.00963865,0.00963865
75,155.605,0.20662,0.84615,1,1.20176,0.0096337,0.0096337,0.0096337
76,157.566,0.09577,0.87179,1,0.83271,0.00962875,0.00962875,0.00962875
77,159.533,0.08766,0.85897,1,0.92495,0.0096238,0.0096238,0.0096238
78,161.565,0.05706,0.84615,1,0.9209,0.00961885,0.00961885,0.00961885
79,163.537,0.09305,0.83974,1,0.86621,0.0096139,0.0096139,0.0096139
